"REF_DATE","GEO","DGUID","Gender","Sociodemographic characteristics","Indicators","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","15 to 24 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230525","1.1.2.2.6","2761","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230526","1.1.3.1.1","45.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230527","1.1.3.1.2","43.1","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230528","1.1.3.1.3","46.8","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230529","1.1.3.1.4","7041","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230530","1.1.3.1.5","6750","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230531","1.1.3.1.6","7332","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230532","1.1.3.2.1","55.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230533","1.1.3.2.2","53.2","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230534","1.1.3.2.3","56.9","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230535","1.1.3.2.4","8620","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230536","1.1.3.2.5","8330","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 54 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230537","1.1.3.2.6","8911","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230538","1.1.4.1.1","41.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230539","1.1.4.1.2","37.5","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230540","1.1.4.1.3","44.6","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230541","1.1.4.1.4","2277","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230542","1.1.4.1.5","2079","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230543","1.1.4.1.6","2475","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230544","1.1.4.2.1","59.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230545","1.1.4.2.2","55.4","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230546","1.1.4.2.3","62.5","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230547","1.1.4.2.4","3280","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230548","1.1.4.2.5","3082","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","25 to 34 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230549","1.1.4.2.6","3478","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230550","1.1.5.1.1","47.6","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230551","1.1.5.1.2","44.6","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230552","1.1.5.1.3","50.6","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230553","1.1.5.1.4","2552","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230554","1.1.5.1.5","2390","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230555","1.1.5.1.6","2713","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230556","1.1.5.2.1","52.4","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230557","1.1.5.2.2","49.4","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230558","1.1.5.2.3","55.4","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230559","1.1.5.2.4","2808","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230560","1.1.5.2.5","2648","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","35 to 44 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230561","1.1.5.2.6","2969","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230562","1.1.6.1.1","46.6","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230563","1.1.6.1.2","43.7","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230564","1.1.6.1.3","49.6","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230565","1.1.6.1.4","2212","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230566","1.1.6.1.5","2072","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230567","1.1.6.1.6","2353","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230568","1.1.6.2.1","53.4","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230569","1.1.6.2.2","50.4","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230570","1.1.6.2.3","56.3","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230571","1.1.6.2.4","2532","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230572","1.1.6.2.5","2391","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","45 to 54 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230573","1.1.6.2.6","2673","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230574","1.1.7.1.1","44.7","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230575","1.1.7.1.2","42.2","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230576","1.1.7.1.3","47.3","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230577","1.1.7.1.4","2274","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230578","1.1.7.1.5","2144","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230579","1.1.7.1.6","2403","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230580","1.1.7.2.1","55.3","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230581","1.1.7.2.2","52.7","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230582","1.1.7.2.3","57.8","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230583","1.1.7.2.4","2810","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230584","1.1.7.2.5","2680","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","55 to 64 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230585","1.1.7.2.6","2940","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230586","1.1.8.1.1","43.8","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230587","1.1.8.1.2","41.7","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230588","1.1.8.1.3","46.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230589","1.1.8.1.4","3214","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230590","1.1.8.1.5","3053","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230591","1.1.8.1.6","3374","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230592","1.1.8.2.1","56.2","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230593","1.1.8.2.2","54.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230594","1.1.8.2.3","58.3","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230595","1.1.8.2.4","4115","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230596","1.1.8.2.5","3955","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 years and over","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230597","1.1.8.2.6","4275","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230598","1.1.9.1.1","45.9","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230599","1.1.9.1.2","43.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230600","1.1.9.1.3","48.9","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230601","1.1.9.1.4","1934","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230602","1.1.9.1.5","1787","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230603","1.1.9.1.6","2080","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230604","1.1.9.2.1","54.1","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230605","1.1.9.2.2","51.1","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230606","1.1.9.2.3","57.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230607","1.1.9.2.4","2277","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230608","1.1.9.2.5","2125","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","65 to 74 years","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230609","1.1.9.2.6","2428","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230610","1.1.10.1.1","41.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230611","1.1.10.1.2","37.7","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230612","1.1.10.1.3","44.5","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230613","1.1.10.1.4","1280","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230614","1.1.10.1.5","1160","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230615","1.1.10.1.6","1400","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230616","1.1.10.2.1","59.0","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230617","1.1.10.2.2","55.5","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230618","1.1.10.2.3","62.3","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that you cannot be too careful in dealing with people","Number of persons","Number","223","thousands","3","v1589230619","1.1.10.2.4","1839","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230620","1.1.10.2.5","1688","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","75 years and over","People who say that you cannot be too careful in dealing with people","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230621","1.1.10.2.6","1990","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, by immigrant status","People who say that most people can be trusted","Percentage of persons","Percent","239","units","0","v1589230622","1.1.11.1.1","44.8","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, by immigrant status","People who say that most people can be trusted","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230623","1.1.11.1.2","43.5","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, by immigrant status","People who say that most people can be trusted","Upper bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230624","1.1.11.1.3","46.1","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, by immigrant status","People who say that most people can be trusted","Number of persons","Number","223","thousands","3","v1589230625","1.1.11.1.4","14694","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, by immigrant status","People who say that most people can be trusted","Lower bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230626","1.1.11.1.5","14276","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, by immigrant status","People who say that most people can be trusted","Upper bound of the 95% confidence interval, number of persons","Number","223","thousands","3","v1589230627","1.1.11.1.6","15113","","","","0"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, by immigrant status","People who say that you cannot be too careful in dealing with people","Percentage of persons","Percent","239","units","0","v1589230628","1.1.11.2.1","55.2","","","","1"
"2023-10","Canada (excluding territories)","2021A000011124","Total, all persons","Total, by immigrant status","People who say that you cannot be too careful in dealing with people","Lower bound of the 95% confidence interval, percentage of persons","Percent","239","units","0","v1589230629","1.1.11.2.2","53.9","","","","1"
