"REF_DATE","GEO","DGUID","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or almost daily, past 30 days","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705443","1.1.9.2","12300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or almost daily, past 30 days","High 95% confidence interval, number of persons","Number","223","units","0","v1663705444","1.1.9.3","22300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or almost daily, past 30 days","Percentage","Percent","239","units","0","v1663705445","1.1.9.4","0.8","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or almost daily, past 30 days","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705446","1.1.9.5","0.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Smoked daily or almost daily, past 30 days","High 95% confidence interval, percentage","Percent","239","units","0","v1663705447","1.1.9.6","1.0","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months","Number of persons","Number","223","units","0","v1663705448","1.1.10.1","239600","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705449","1.1.10.2","222000","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1663705450","1.1.10.3","256200","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months","Percentage","Percent","239","units","0","v1663705451","1.1.10.4","10.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705452","1.1.10.5","9.9","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1663705453","1.1.10.6","11.4","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months, daily or almost daily","Number of persons","Number","223","units","0","v1663705454","1.1.11.1","25900","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months, daily or almost daily","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705455","1.1.11.2","20400","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months, daily or almost daily","High 95% confidence interval, number of persons","Number","223","units","0","v1663705456","1.1.11.3","32200","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months, daily or almost daily","Percentage","Percent","239","units","0","v1663705457","1.1.11.4","1.1","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months, daily or almost daily","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705458","1.1.11.5","0.9","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Cannabis use in the past 12 months, daily or almost daily","High 95% confidence interval, percentage","Percent","239","units","0","v1663705459","1.1.11.6","1.4","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Used e-cigarette or vaping device, past 30 days","Number of persons","Number","223","units","0","v1663705460","1.1.12.1","298600","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Used e-cigarette or vaping device, past 30 days","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705461","1.1.12.2","281700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Used e-cigarette or vaping device, past 30 days","High 95% confidence interval, number of persons","Number","223","units","0","v1663705462","1.1.12.3","316700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Used e-cigarette or vaping device, past 30 days","Percentage","Percent","239","units","0","v1663705463","1.1.12.4","13.2","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Used e-cigarette or vaping device, past 30 days","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705464","1.1.12.5","12.5","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Used e-cigarette or vaping device, past 30 days","High 95% confidence interval, percentage","Percent","239","units","0","v1663705465","1.1.12.6","14.0","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Drank alcohol, past 12 months","Number of persons","Number","223","units","0","v1806928226","1.1.23.1","571700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Drank alcohol, past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1806928227","1.1.23.2","547900","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Drank alcohol, past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1806928228","1.1.23.3","593700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Drank alcohol, past 12 months","Percentage","Percent","239","units","0","v1806928229","1.1.23.4","25.3","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Drank alcohol, past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1806928230","1.1.23.5","24.3","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Drank alcohol, past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1806928231","1.1.23.6","26.3","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, weekly or daily","Number of persons","Number","223","units","0","v1663705466","1.1.13.1","252300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, weekly or daily","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705467","1.1.13.2","236200","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, weekly or daily","High 95% confidence interval, number of persons","Number","223","units","0","v1663705468","1.1.13.3","267500","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, weekly or daily","Percentage","Percent","239","units","0","v1663705469","1.1.13.4","11.1","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, weekly or daily","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705470","1.1.13.5","10.5","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, weekly or daily","High 95% confidence interval, percentage","Percent","239","units","0","v1663705471","1.1.13.6","11.9","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, daily","Number of persons","Number","223","units","0","v1663705472","1.1.14.1","117000","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, daily","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705473","1.1.14.2","105700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, daily","High 95% confidence interval, number of persons","Number","223","units","0","v1663705474","1.1.14.3","127900","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, daily","Percentage","Percent","239","units","0","v1663705475","1.1.14.4","5.2","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, daily","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705476","1.1.14.5","4.7","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Changed eating habits to manage weight, daily","High 95% confidence interval, percentage","Percent","239","units","0","v1663705477","1.1.14.6","5.7","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, weekly or daily","Number of persons","Number","223","units","0","v1663705478","1.1.15.1","371700","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, weekly or daily","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705479","1.1.15.2","353200","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, weekly or daily","High 95% confidence interval, number of persons","Number","223","units","0","v1663705480","1.1.15.3","390100","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, weekly or daily","Percentage","Percent","239","units","0","v1663705481","1.1.15.4","16.4","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, weekly or daily","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705482","1.1.15.5","15.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, weekly or daily","High 95% confidence interval, percentage","Percent","239","units","0","v1663705483","1.1.15.6","17.3","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, daily","Number of persons","Number","223","units","0","v1663705484","1.1.16.1","202400","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, daily","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705485","1.1.16.2","188800","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, daily","High 95% confidence interval, number of persons","Number","223","units","0","v1663705486","1.1.16.3","216500","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, daily","Percentage","Percent","239","units","0","v1663705487","1.1.16.4","9.0","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, daily","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705488","1.1.16.5","8.4","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Preoccupied with a desire to be thinner, daily","High 95% confidence interval, percentage","Percent","239","units","0","v1663705489","1.1.16.6","9.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, weekly or daily","Number of persons","Number","223","units","0","v1663705490","1.1.17.1","13600","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, weekly or daily","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705491","1.1.17.2","10300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, weekly or daily","High 95% confidence interval, number of persons","Number","223","units","0","v1663705492","1.1.17.3","17100","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, weekly or daily","Percentage","Percent","239","units","0","v1663705493","1.1.17.4","0.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, weekly or daily","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705494","1.1.17.5","0.5","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, weekly or daily","High 95% confidence interval, percentage","Percent","239","units","0","v1663705495","1.1.17.6","0.8","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, daily","Number of persons","Number","223","units","0","v1663705496","1.1.18.1","6700","E","","","0"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, daily","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705497","1.1.18.2","4400","E","","","0"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, daily","High 95% confidence interval, number of persons","Number","223","units","0","v1663705498","1.1.18.3","9600","E","","","0"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, daily","Percentage","Percent","239","units","0","v1663705499","1.1.18.4","0.3","E","","","1"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, daily","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705500","1.1.18.5","0.2","E","","","1"
"2019","Canada (excluding territories)","","Both sexes","Vomited to lose weight, daily","High 95% confidence interval, percentage","Percent","239","units","0","v1663705501","1.1.18.6","0.4","E","","","1"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of bullying in the past 12 months","Number of persons","Number","223","units","0","v1663705502","1.1.19.1","1545500","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of bullying in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705503","1.1.19.2","1520000","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of bullying in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1663705504","1.1.19.3","1569400","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of bullying in the past 12 months","Percentage","Percent","239","units","0","v1663705505","1.1.19.4","70.0","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of bullying in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705506","1.1.19.5","68.9","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of bullying in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1663705507","1.1.19.6","71.1","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of cyberbullying in the past 12 months","Number of persons","Number","223","units","0","v1663705508","1.1.20.1","551600","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of cyberbullying in the past 12 months","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705509","1.1.20.2","528500","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of cyberbullying in the past 12 months","High 95% confidence interval, number of persons","Number","223","units","0","v1663705510","1.1.20.3","572600","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of cyberbullying in the past 12 months","Percentage","Percent","239","units","0","v1663705511","1.1.20.4","24.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of cyberbullying in the past 12 months","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705512","1.1.20.5","23.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Experienced at least one form of cyberbullying in the past 12 months","High 95% confidence interval, percentage","Percent","239","units","0","v1663705513","1.1.20.6","25.6","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Recreational screen time, within recommended screen time limits","Number of persons","Number","223","units","0","v1663705514","1.1.21.1","","..","","","0"
"2019","Canada (excluding territories)","","Both sexes","Recreational screen time, within recommended screen time limits","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705515","1.1.21.2","","..","","","0"
"2019","Canada (excluding territories)","","Both sexes","Recreational screen time, within recommended screen time limits","High 95% confidence interval, number of persons","Number","223","units","0","v1663705516","1.1.21.3","","..","","","0"
"2019","Canada (excluding territories)","","Both sexes","Recreational screen time, within recommended screen time limits","Percentage","Percent","239","units","0","v1663705517","1.1.21.4","","..","","","1"
"2019","Canada (excluding territories)","","Both sexes","Recreational screen time, within recommended screen time limits","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705518","1.1.21.5","","..","","","1"
"2019","Canada (excluding territories)","","Both sexes","Recreational screen time, within recommended screen time limits","High 95% confidence interval, percentage","Percent","239","units","0","v1663705519","1.1.21.6","","..","","","1"
"2019","Canada (excluding territories)","","Both sexes","Met sleep guidelines in the last 7 days","Number of persons","Number","223","units","0","v1663705520","1.1.22.1","1458400","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Met sleep guidelines in the last 7 days","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705521","1.1.22.2","1434400","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Met sleep guidelines in the last 7 days","High 95% confidence interval, number of persons","Number","223","units","0","v1663705522","1.1.22.3","1481300","","","","0"
"2019","Canada (excluding territories)","","Both sexes","Met sleep guidelines in the last 7 days","Percentage","Percent","239","units","0","v1663705523","1.1.22.4","66.1","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Met sleep guidelines in the last 7 days","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705524","1.1.22.5","65.0","","","","1"
"2019","Canada (excluding territories)","","Both sexes","Met sleep guidelines in the last 7 days","High 95% confidence interval, percentage","Percent","239","units","0","v1663705525","1.1.22.6","67.2","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived health, excellent or very good","Number of persons","Number","223","units","0","v1663705526","1.2.1.1","926300","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived health, excellent or very good","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705527","1.2.1.2","912300","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived health, excellent or very good","High 95% confidence interval, number of persons","Number","223","units","0","v1663705528","1.2.1.3","941400","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived health, excellent or very good","Percentage","Percent","239","units","0","v1663705529","1.2.1.4","79.7","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived health, excellent or very good","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705530","1.2.1.5","78.4","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived health, excellent or very good","High 95% confidence interval, percentage","Percent","239","units","0","v1663705531","1.2.1.6","80.9","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived health, fair or poor","Number of persons","Number","223","units","0","v1663705532","1.2.2.1","34600","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived health, fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705533","1.2.2.2","28700","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived health, fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1663705534","1.2.2.3","41700","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived health, fair or poor","Percentage","Percent","239","units","0","v1663705535","1.2.2.4","3.0","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived health, fair or poor","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705536","1.2.2.5","2.5","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived health, fair or poor","High 95% confidence interval, percentage","Percent","239","units","0","v1663705537","1.2.2.6","3.6","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived mental health, excellent or very good","Number of persons","Number","223","units","0","v1663705538","1.2.3.1","855600","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived mental health, excellent or very good","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705539","1.2.3.2","840300","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived mental health, excellent or very good","High 95% confidence interval, number of persons","Number","223","units","0","v1663705540","1.2.3.3","871800","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived mental health, excellent or very good","Percentage","Percent","239","units","0","v1663705541","1.2.3.4","73.8","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived mental health, excellent or very good","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705542","1.2.3.5","72.4","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived mental health, excellent or very good","High 95% confidence interval, percentage","Percent","239","units","0","v1663705543","1.2.3.6","75.1","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v1663705544","1.2.4.1","81300","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived mental health, fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705545","1.2.4.2","72600","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived mental health, fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1663705546","1.2.4.3","89900","","","","0"
"2019","Canada (excluding territories)","","Males","Perceived mental health, fair or poor","Percentage","Percent","239","units","0","v1663705547","1.2.4.4","7.0","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived mental health, fair or poor","Low 95% confidence interval, percentage","Percent","239","units","0","v1663705548","1.2.4.5","6.3","","","","1"
"2019","Canada (excluding territories)","","Males","Perceived mental health, fair or poor","High 95% confidence interval, percentage","Percent","239","units","0","v1663705549","1.2.4.6","7.8","","","","1"
"2019","Canada (excluding territories)","","Males","Youth's perceived life satisfaction, satisfied or very satisfied","Number of persons","Number","223","units","0","v1663705550","1.2.5.1","1083000","","","","0"
"2019","Canada (excluding territories)","","Males","Youth's perceived life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons","Number","223","units","0","v1663705551","1.2.5.2","1072700","","","","0"
